Source,Days
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,0
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,1
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,2
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,3
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,4
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,5
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,6
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,7
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,8
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,9
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,10
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,11
AFP,12
AFP,12
AFP,12
AFP,12
AFP,12
AFP,12
AFP,12
AFP,12
AFP,12
AFP,12
AFP,12
